company,tax_id,license,address,fit_hint
Công ty TNHH Potential Lab,0317342919,23200/2024/48/SLĐTBXH-VLATLĐ,"Tầng 5, Tòa nhà Trung Tâm Văn Hóa Đa Năng, số 62 Trần Quang Khải, phường Tân Định, Quận 1",
Công ty TNHH Fastlance Vietnam,0318396709,17118/2024/35/SLĐTBXH-VLATLĐ,"Tầng 14, Tòa nhà HM Town, 412 Nguyễn Thị Minh Khai, Phường 5, Quận 3",
Công ty TNHH RGF HR Agent Việt Nam,0311046543,19711/2023/40/SLĐTBXH-VLATLĐ,"Tầng 7, Centec Tower, 72-74 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3",yes
Công ty TNHH Giải pháp Nhân sự Global Door,0315932937,11679/2023/21/SLĐTBXH-VLATLĐ,"Tầng 8, Tòa nhà Cao Thắng Mall, số 19 Cao Thắng, Phường 2, Quận 3",yes
Công ty TNHH Glints Việt Nam,0316168834,16208/2024/34/SLĐTBXH-VLATLĐ,"Tầng 6, Số 100, Đường Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3",
Công ty TNHH Một thành viên Dịch vụ Cơ quan Nước Ngoài,0300540207,21722/2024/42/SLĐTBXH-VLATLĐ,"Số 124 Nguyễn Đình Chiểu, Phường 06, Quận 3",
Công ty Cổ phần Tuyển dụng Nhân Tài,0304470906,9590/2024/25/SLĐTBXH-VLATLĐ,"Số 5, tòa nhà Thiên Sơn (tầng 1) Nguyễn Gia Thiều, Phường 06, Quận 3",yes
Công ty TNHH Tư Vấn Giải Pháp Nhân Sự VSHR,0317095191,18800/2022/14/SLĐTBXH-VLATLĐ,"222 Điện Biên Phủ, Phường Võ Thị Sáu,  Quận 3",yes
Công ty TNHH Incorp Việt Nam,0315450355,12906/2024/29/SLĐTBXH-VLATLĐ,"Tầng 2, tòa nhà Galleria, 258 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3",
Công ty TNHH Eps Consultants,0317530870,9266/2023/17/SLĐTBXH-VLATLĐ,"Tầng 8, Tòa nhà Loyal, 151-151Bis Võ Thị Sáu, Phường Võ Thị Sáu, Quận 3",
Công ty TNHH Pegasi Recruitment,0314967944,10034/2023/18/SLĐTBXH-VLATLĐ,"Phòng 804, Lầu 8, Centec Tower, 72-74 Nguyễn Thị Minh Khai, phường Võ Thị Sáu, quận 3",yes
Công ty Cổ phần Fiza,'0316928404,12218/2023/24/SLĐTBXH-VLATLĐ,"Tầng 1, số 290//26 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3",
Công ty TNHH Olik Việt Nam,0317921539,21038/2023/42/SLĐTBXH-VLATLĐ,"200 Pasteur, Phường Võ Thị Sáu, Quận 3",
Công ty TNHH Dịch vụ & Tư vấn Hyundai,0313574524,187/2024/03/SLĐTBXH-VLATLĐ,"Tầng 7, Agrex Building, Số 58 Đường Võ Văn Tần, Phường 06, Quận 3",
Công ty TNHH Tech Grid Asia (Việt Nam),0316990882,4628/2024/16/SLĐTBXH-VLATLĐ,"Tầng 10, The CirCO Platform, 222 Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3",yes
Công ty Cổ phần Giải pháp Careerviet,0303284985,23199/2024/47/SLĐTBXH-VLATLĐ,"139 Pasteur, Phường Võ Thị Sáu, Quận 3",
Công ty TNHH Talentvis Việt Nam,0316188781,23256/2024/49/SLĐTBXH-VLATLĐ,"222 Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",yes
Công ty Cổ phần Adecco Việt Nam,0311285460,13541/2024/30/SLĐTBXH-VLATLĐ,"Tầng 14, Toà nhà E.town Central, Số 11 Đoàn Văn Bơ, Phường 13, Quận 4",yes
Công ty Cổ phần Navigos Group Việt Nam,0304836029,3882/2024/14/SLĐTBXH-VLATLĐ,"Tầng 20, E.Town Central, 11 Đoàn Văn Bơ, Phường 13, Quận 4",yes
